fetch_date,today_date,site_updated,kind,model_id,model,dai,box_d2,box_d1,box_d0,hit_d2,hit_d1,hit_d0,prob_d2,prob_d1,prob_d0
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3807,e/押忍番長漢の頂/A03,0401,0.0,-1.0,0.0,0,1,0,,1/104,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3807,e/押忍番長漢の頂/A03,0402,-0.1,3.1,0.0,0,16,0,1/12,1/45,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3794,e/ﾜｰﾙﾄﾞﾀﾞｲｽﾀｰ/L04,0398,-2.3,0.4,0.0,2,3,0,1/152,1/18,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3825,etakt op. DestinyH6,0404,-2.4,1.8,0.0,12,26,0,1/241,1/125,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3733,eいせれべFSZ,0357,-1.5,0.0,0.0,1,0,0,1/185,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3683,eとある科学の超電磁砲 LTRSY,0389,-2.5,-1.2,0.0,0,3,0,1/234,1/55,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3640,eとある魔術の禁書目録 一方通行,0406,-1.1,-0.7,0.0,0,0,0,1/129,1/84,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3640,eとある魔術の禁書目録 一方通行,0407,-0.6,-0.5,0.0,0,0,0,1/69,1/47,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3777,eひきこまり吸血姫の悶々FHV,0361,-9.8,-9.3,0.0,5,3,0,1/221,1/365,1/8
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3806,e七つの大罪3GFEA,0370,-6.5,-1.9,0.0,2,1,0,1/324,1/213,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3414,e乃木坂46ⅡK4,0411,-1.0,-0.9,0.0,0,6,0,1/97,1/313,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3595,e仮面ﾗｲﾀﾞｰBLACK-KRJ2,0354,2.5,-0.2,0.0,5,0,0,1/116,1/27,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3785,e化物語2GSED,0360,-2.9,-1.9,-0.4,3,5,0,1/113,1/214,1/42
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3705,e北斗の拳11暴凶星SHEF,0247,15.5,-0.5,0.0,25,1,0,1/95,1/127,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3705,e北斗の拳11暴凶星SHEF,0248,0.0,-0.4,0.0,0,0,0,,1/32,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3705,e北斗の拳11暴凶星SHEF,0249,-4.5,4.0,0.0,2,8,0,1/284,1/207,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3705,e北斗の拳11暴凶星SHEF,0250,6.6,-0.9,-0.1,11,1,0,1/104,1/101,1/16
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3705,e北斗の拳11暴凶星SHEF,0251,-6.4,-5.7,-0.1,0,2,0,1/564,1/350,1/6
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3706,e地獄少女7500Ver.RHZ,0246,5.1,-0.5,0.0,10,8,0,1/153,1/175,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3728,e女神のｶﾌｪﾃﾗｽJLZ,0184,0.5,-1.8,0.0,3,0,0,1/119,1/349,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3728,e女神のｶﾌｪﾃﾗｽJLZ,0185,3.1,3.6,-0.1,4,5,0,1/315,1/170,1/3
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0237,5.7,-1.4,-0.7,14,7,0,1/514,1/418,1/72
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0238,0.0,-3.2,0.0,0,3,0,,1/128,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0239,-0.7,-0.8,0.0,0,0,0,1/70,1/77,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0240,1.1,2.8,0.0,12,6,0,1/163,1/127,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0241,-0.8,6.7,0.0,0,9,0,1/76,1/116,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0242,-0.7,9.0,-0.1,0,20,0,1/66,1/152,1/13
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0243,-1.9,5.3,-1.6,0,13,1,1/185,1/468,1/176
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3713,e新世紀ｴｳﾞｧﾝｹﾞﾘｵﾝ17,0244,12.9,13.2,-0.1,19,13,0,1/220,1/182,1/15
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3803,e東京喰種MW,0181,3.1,-6.9,-2.1,13,14,0,1/223,1/387,1/423
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3803,e東京喰種MW,0182,-1.2,2.9,-0.7,31,28,0,1/317,1/340,1/145
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3803,e東京喰種MW,0183,1.9,-5.5,-2.1,16,16,0,1/297,1/608,1/438
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0186,-1.6,-3.7,0.0,3,2,0,1/238,1/224,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0187,-3.0,13.0,0.0,0,16,0,1/303,1/128,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0188,17.4,-0.6,0.0,25,8,0,1/87,1/155,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0189,-2.9,-6.8,0.0,3,2,0,1/636,1/342,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0190,-10.3,-6.4,0.0,5,3,0,1/257,1/221,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3565,e東京喰種W,0191,19.2,-7.1,0.0,22,4,0,1/93,1/246,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3644,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞGFEC,0380,-0.5,-1.8,0.0,0,1,0,1/42,1/192,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3644,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞGFEC,0381,-4.1,-2.9,0.0,0,1,0,1/365,1/274,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3644,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞGFEC,0382,-0.3,-3.5,0.0,0,1,0,1/34,1/346,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3791,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞ聖夜決戦編EREC,0366,-0.1,2.3,0.0,0,7,0,1/8,1/91,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3791,e東京ﾘﾍﾞﾝｼﾞｬｰｽﾞ聖夜決戦編EREC,0367,-0.8,-6.8,-0.5,0,3,0,1/65,1/219,1/51
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3792,e無職転生異世界行ったら本気だす,0368,-4.6,4.0,-0.8,6,9,0,1/423,1/282,1/70
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3656,e牙狼12XX-MJ,0233,-0.7,-5.6,0.0,1,1,0,1/158,1/570,
